ID,Area,Item,Year,yield,avg_rainfall_,pest_ton,avg_temp
1,India,Cassava,1990,205381,1083,75000,25.58
2,India,Cassava,1990,205381,1083,75000,26.88
3,India,Cassava,1990,205381,1083,75000,25.79
4,India,Cassava,1990,205381,1083,75000,24.1
5,India,Cassava,1990,205381,1083,75000,25.25
6,India,Cassava,1990,205381,1083,75000,25.44
7,India,Cassava,1990,205381,1083,75000,25.54
8,India,Cassava,1990,205381,1083,75000,26.36
9,India,Cassava,1990,205381,1083,75000,26.91
10,India,Cassava,1990,205381,1083,75000,25.16
11,India,Cassava,1990,205381,1083,75000,25.77
12,India,Cassava,1990,205381,1083,75000,25.12
13,India,Cassava,1990,205381,1083,75000,24.1
14,India,Cassava,1990,205381,1083,75000,25.68
15,India,Cassava,1990,205381,1083,75000,25.54
16,India,Cassava,1990,205381,1083,75000,25.44
17,India,Cassava,1990,205381,1083,75000,24.78
18,India,Cassava,1990,205381,1083,75000,26.59
19,India,Cassava,1990,205381,1083,75000,24.37
20,India,Cassava,1990,205381,1083,75000,26.63
21,India,Cassava,1990,205381,1083,75000,26.63
22,India,Cassava,1990,205381,1083,75000,25.64
23,India,Maize,1990,15178,1083,75000,25.58
24,India,Maize,1990,15178,1083,75000,26.88
25,India,Maize,1990,15178,1083,75000,25.79
26,India,Maize,1990,15178,1083,75000,24.1
27,India,Maize,1990,15178,1083,75000,25.25
28,India,Maize,1990,15178,1083,75000,25.44
29,India,Maize,1990,15178,1083,75000,25.54
30,India,Maize,1990,15178,1083,75000,26.36
31,India,Maize,1990,15178,1083,75000,26.91
32,India,Maize,1990,15178,1083,75000,25.16
33,India,Maize,1990,15178,1083,75000,25.77
34,India,Maize,1990,15178,1083,75000,25.12
35,India,Maize,1990,15178,1083,75000,24.1
36,India,Maize,1990,15178,1083,75000,25.68
37,India,Maize,1990,15178,1083,75000,25.54
38,India,Maize,1990,15178,1083,75000,25.44
39,India,Maize,1990,15178,1083,75000,24.78
40,India,Maize,1990,15178,1083,75000,26.59
41,India,Maize,1990,15178,1083,75000,24.37
42,India,Maize,1990,15178,1083,75000,26.63
43,India,Maize,1990,15178,1083,75000,26.63
44,India,Maize,1990,15178,1083,75000,25.64
45,India,Potatoes,1990,157136,1083,75000,25.58
46,India,Potatoes,1990,157136,1083,75000,26.88
47,India,Potatoes,1990,157136,1083,75000,25.79
48,India,Potatoes,1990,157136,1083,75000,24.1
49,India,Potatoes,1990,157136,1083,75000,25.25
50,India,Potatoes,1990,157136,1083,75000,25.44
51,India,Potatoes,1990,157136,1083,75000,25.54
52,India,Potatoes,1990,157136,1083,75000,26.36
53,India,Potatoes,1990,157136,1083,75000,26.91
54,India,Potatoes,1990,157136,1083,75000,25.16
55,India,Potatoes,1990,157136,1083,75000,25.77
56,India,Potatoes,1990,157136,1083,75000,25.12
57,India,Potatoes,1990,157136,1083,75000,24.1
58,India,Potatoes,1990,157136,1083,75000,25.68
59,India,Potatoes,1990,157136,1083,75000,25.54
60,India,Potatoes,1990,157136,1083,75000,25.44
61,India,Potatoes,1990,157136,1083,75000,24.78
62,India,Potatoes,1990,157136,1083,75000,26.59
63,India,Potatoes,1990,157136,1083,75000,24.37
64,India,Potatoes,1990,157136,1083,75000,26.63
65,India,Potatoes,1990,157136,1083,75000,26.63
